Geography,Rank,Sex,2008,2009,2010,2011,2012
Yukon Territory,Senior officers (2),Males,1,2,4,3,3
Yukon Territory,Senior officers (2),Females,1,0,0,0,0
Yukon Territory,Non-commissioned officers (3),Males,38,44,40,42,42
Yukon Territory,Non-commissioned officers (3),Females,3,3,3,3,5
Yukon Territory,Constables,Males,62,61,60,62,59
Yukon Territory,Constables,Females,12,12,14,12,10
Northwest Territories including Nunavut,Total number of police officers (1),Males,0,0,0,0,0
Northwest Territories including Nunavut,Total number of police officers (1),Females,0,0,0,0,0
Northwest Territories including Nunavut,Senior officers (2),Males,0,0,0,0,0
Northwest Territories including Nunavut,Senior officers (2),Females,0,0,0,0,0
Northwest Territories including Nunavut,Non-commissioned officers (3),Males,0,0,0,0,0
Northwest Territories including Nunavut,Non-commissioned officers (3),Females,0,0,0,0,0
Northwest Territories including Nunavut,Constables,Males,0,0,0,0,0
Northwest Territories including Nunavut,Constables,Females,0,0,0,0,0
Northwest Territories,Total number of police officers (1),Males,146,168,172,171,173
Northwest Territories,Total number of police officers (1),Females,32,28,30,26,26
Northwest Territories,Senior officers (2),Males,4,5,7,5,5
Northwest Territories,Senior officers (2),Females,0,0,0,0,0
Northwest Territories,Non-commissioned officers (3),Males,45,54,59,56,61
Northwest Territories,Non-commissioned officers (3),Females,10,8,8,7,7
Northwest Territories,Constables,Males,97,109,106,110,107
Northwest Territories,Constables,Females,22,20,22,19,19
Nunavut,Total number of police officers (1),Males,107,110,115,112,109
Nunavut,Total number of police officers (1),Females,12,15,17,18,16
Nunavut,Senior officers (2),Males,3,3,3,3,3
Nunavut,Senior officers (2),Females,0,0,0,0,1
Nunavut,Non-commissioned officers (3),Males,35,39,39,35,30
Nunavut,Non-commissioned officers (3),Females,2,4,4,6,8
Nunavut,Constables,Males,69,68,73,74,76
Nunavut,Constables,Females,10,11,13,12,7
